country_name,year,NoR_OECD
Austria,2008,8.439032264
Austria,2009,8.522114321
Austria,2010,8.926067722
Austria,2011,8.917406504
Austria,2012,9.440948739
Austria,2013,9.580048202
Austria,2014,10.00657292
Austria,2015,10.16488004
Austria,2016,10.82447084
Austria,2017,10.7679967
Austria,2018,11.16925298
Austria,2019,11.63628544
Belgium,2008,8.223819934
Belgium,2009,8.562465224
Belgium,2010,9.088018497
Belgium,2011,9.375101228
Belgium,2012,9.972224652
Belgium,2013,10.16759189
Belgium,2014,11.10285764
Belgium,2015,11.51687097
Belgium,2016,11.60995016
Belgium,2017,11.37418343
Belgium,2018,11.92482551
Belgium,2019,12.38300411
Canada,2008,9.118300377
Canada,2009,8.861488656
Canada,2010,9.197955765
Canada,2011,9.417600417
Canada,2012,9.131744056
Canada,2013,9.112551006
Canada,2014,9.003251535
Canada,2015,8.990799823
Canada,2016,8.688412108
Canada,2017,8.683195793
Canada,2018,9.218177222
Canada,2019,9.428146494
Czechia,2008,5.72343675
Czechia,2009,5.627934757
Czechia,2010,5.779411865
Czechia,2011,6.083467143
Czechia,2012,6.558665385
Czechia,2013,6.745045387
Czechia,2014,7.05421265
Czechia,2015,7.348830195
Czechia,2016,7.092627237
Czechia,2017,7.329219429
Czechia,2018,7.605186675
Czechia,2019,7.826454457
Denmark,2008,12.11512168
Denmark,2009,12.8887623
Denmark,2010,13.42791737
Denmark,2011,14.06036256
Denmark,2012,14.48608923
Denmark,2013,14.41153006
Denmark,2014,14.8392123
Denmark,2015,15.13822208
Denmark,2016,15.57995753
Denmark,2017,15.04707387
Denmark,2018,14.82250886
Denmark,2019,14.86389694
Finland,2008,15.87470242
Finland,2009,16.27569376
Finland,2010,16.6052173
Finland,2011,15.78323496
Finland,2012,15.83208795
Finland,2013,15.45164978
Finland,2014,15.15643188
Finland,2015,14.86480704
Finland,2016,14.16385295
Finland,2017,14.46112109
Finland,2018,14.42869655
Finland,2019,14.95116479
France,2008,8.392440927
France,2009,8.738806335
France,2010,9.071490263
France,2011,9.214973381
France,2012,9.5399042
France,2013,9.763361942
France,2014,9.942645489
France,2015,10.20298638
France,2016,10.35614919
France,2017,10.62817966
France,2018,10.8473122
France,2019,10.99749793
Germany,2008,7.410769381
Germany,2009,7.757548346
Germany,2010,7.990547652
Germany,2011,8.152537069
Germany,2012,8.387134392
Germany,2013,8.369846517
Germany,2014,8.23770511
Germany,2015,8.997309958
Germany,2016,9.152447264
Germany,2017,9.480299128
Germany,2018,9.665798253
Germany,2019,9.955980251
Greece,2009,7.098837695
Greece,2010,7.098837695
Greece,2011,5.476913249
Greece,2012,5.732994712
Greece,2013,6.796212494
Greece,2014,6.708328366
Greece,2015,8.029476888
Greece,2016,6.578567603
Greece,2017,7.871177412
Greece,2018,8.136442124
Greece,2019,8.559426412
Hungary,2008,4.565427055
Hungary,2009,5.04707357
Hungary,2010,5.404645686
Hungary,2011,5.829633095
Hungary,2012,5.981822407
Hungary,2013,6.205370553
Hungary,2014,6.213043908
Hungary,2015,5.869980716
Hungary,2016,5.768916486
Hungary,2017,6.235102358
Hungary,2018,8.058536786
Hungary,2019,8.328069516
ISL,2008,12.87046012
ISL,2009,15.21931956
ISL,2011,13.7449787
ISL,2013,10.78849971
ISL,2015,10.77252078
ISL,2017,10.42196238
Ireland,2008,6.81084889
Ireland,2009,7.230800591
Ireland,2010,7.524603852
Ireland,2011,8.281895794
Ireland,2012,12.19088147
Ireland,2013,12.53675304
Ireland,2014,12.62885232
Ireland,2015,12.19885657
Ireland,2016,11.67741892
Ireland,2017,11.39405002
Ireland,2018,10.30639566
Ireland,2019,10.33943045
Italy,2008,3.776318332
Italy,2009,4.083113488
Italy,2010,4.173229014
Italy,2011,4.271733663
Italy,2012,4.466633848
Italy,2013,4.77276201
Italy,2014,4.852056673
Italy,2015,5.134360137
Italy,2016,5.38080463
Italy,2017,5.58422805
Italy,2018,6.003121637
Italy,2019,6.305859104
Japan,2008,9.888060713
Japan,2009,9.985833105
Japan,2010,10.00658938
Japan,2011,10.04760229
Japan,2012,9.959582107
Japan,2013,10.13610693
Japan,2014,10.43796234
Japan,2015,10.1051772
Japan,2016,10.0632919
Japan,2017,10.11928418
Japan,2018,9.97167897
Japan,2019,9.936908839
KOR,2008,9.932150198
KOR,2009,10.30381514
KOR,2010,10.98980302
KOR,2011,11.77889519
KOR,2012,12.64633111
KOR,2013,12.72152448
KOR,2014,13.33990141
KOR,2015,13.61629192
KOR,2016,13.68062151
KOR,2017,14.33490292
KOR,2018,15.22520544
KOR,2019,15.87937824
Luxembourg,2008,6.545350501
Luxembourg,2009,6.786745964
Luxembourg,2010,7.266629588
Luxembourg,2011,7.647028633
Luxembourg,2012,6.09438143
Luxembourg,2013,6.484045584
Luxembourg,2014,6.640565799
Luxembourg,2015,6.426495937
Luxembourg,2016,6.613049713
Luxembourg,2017,6.785301595
Luxembourg,2018,6.379679144
Luxembourg,2019,6.728425736
MEX,2008,1.071922705
MEX,2009,1.259960957
MEX,2010,1.114892159
MEX,2011,1.125602157
MEX,2012,0.799382535
MEX,2013,0.817161535
MEX,2014,0.846779182
MEX,2015,0.912679078
MEX,2016,1.017851563
MEX,2017,1.012440132
MEX,2018,0.998711994
MEX,2019,1.060494847
Netherlands,2008,5.690072911
Netherlands,2009,5.312591922
Netherlands,2010,6.117211528
Netherlands,2011,6.926579795
Netherlands,2012,8.287326502
Netherlands,2013,9.480934387
Netherlands,2014,9.594269341
Netherlands,2015,9.478655767
Netherlands,2016,9.796712513
Netherlands,2017,9.940264279
Netherlands,2018,10.16123883
Netherlands,2019,10.16707816
New Zealand,2008,8.62162951
New Zealand,2009,7.538159004
New Zealand,2010,8.62162951
New Zealand,2011,7.459271463
New Zealand,2012,8.62162951
New Zealand,2013,8.003577018
New Zealand,2014,8.62162951
New Zealand,2015,10.64826646
New Zealand,2016,8.62162951
New Zealand,2017,9.458873606
New Zealand,2018,8.62162951
New Zealand,2019,10.68546662
Norway,2008,9.975040948
Norway,2009,10.28458467
Norway,2010,10.3835283
Norway,2011,10.5363362
Norway,2012,10.55743051
Norway,2013,10.61806181
Norway,2014,10.85263549
Norway,2015,11.31668391
Norway,2016,11.75519375
Norway,2017,12.24139186
Norway,2018,12.2961504
Norway,2019,12.65570255
Poland,2008,3.928654517
Poland,2009,3.870001393
Poland,2010,4.197126927
Poland,2011,4.149029908
Poland,2012,4.329643487
Poland,2013,4.621910527
Poland,2014,4.997895874
Poland,2015,5.171822167
Poland,2016,5.476188997
Poland,2017,7.02329145
Poland,2018,7.180605595
Poland,2019,7.3655773
Portugal,2008,7.95412411
Portugal,2009,8.060841358
Portugal,2010,8.524046144
Portugal,2011,9.223049753
Portugal,2012,9.276148223
Portugal,2013,8.497075021
Portugal,2014,8.454583333
Portugal,2015,8.451287523
Portugal,2016,8.892614999
Portugal,2017,9.356912766
Portugal,2018,9.696207555
Portugal,2019,10.12800141
Slovakia,2008,5.601478146
Slovakia,2009,6.03225007
Slovakia,2010,6.997255996
Slovakia,2011,6.94009409
Slovakia,2012,6.911685899
Slovakia,2013,6.717935127
Slovakia,2014,6.631224448
Slovakia,2015,6.354161291
Slovakia,2016,6.095950581
Slovakia,2017,6.418362942
Slovakia,2018,6.751099838
Slovakia,2019,6.943018743
Spain,2008,6.179735895
Spain,2009,6.73987659
Spain,2010,6.903193393
Spain,2011,6.85057441
Spain,2012,6.947436117
Spain,2013,6.921646426
Spain,2014,6.795498374
Spain,2015,6.621509075
Spain,2016,6.705359007
Spain,2017,6.870944661
Spain,2018,7.070808964
Spain,2019,7.078397404
Sweden,2008,11.02282704
Sweden,2009,10.60479713
Sweden,2010,10.98507463
Sweden,2011,10.60352711
Sweden,2012,10.6505295
Sweden,2013,13.74015411
Sweden,2014,14.06860882
Sweden,2015,13.87978369
Sweden,2016,14.37336601
Sweden,2017,14.57683875
Sweden,2018,14.74127109
Sweden,2019,15.33326833
TUR,2008,2.565751198
TUR,2009,2.795129772
TUR,2010,2.931251207
TUR,2011,3.085915967
TUR,2012,3.406439251
TUR,2013,3.594917288
TUR,2014,3.497728016
TUR,2015,3.614157333
TUR,2016,3.722377077
TUR,2017,4.007772485
TUR,2018,4.432438297
TUR,2019,4.876213306
United Kingdom,2008,8.503288256
United Kingdom,2009,8.785135397
United Kingdom,2010,8.779078408
United Kingdom,2011,8.557003324
United Kingdom,2012,8.626442931
United Kingdom,2013,8.91087583
United Kingdom,2014,8.993860989
United Kingdom,2015,9.137117072
United Kingdom,2016,9.169948068
United Kingdom,2017,9.227710367
United Kingdom,2018,8.869046064
United Kingdom,2019,8.869046064
USA,2008,7.545043855
USA,2009,8.177572723
USA,2010,7.77926781
USA,2011,8.052626026
USA,2012,7.949500532
USA,2013,8.127324965
USA,2014,8.28527469
USA,2015,8.297397351
USA,2016,8.127179561
USA,2017,8.364471256
USA,2018,8.93384667
USA,2019,8.990226769
Argentina,2008,2.53168024
Argentina,2009,2.543315583
Argentina,2010,2.756739535
Argentina,2011,2.8455237
Argentina,2012,2.90568956
Argentina,2013,2.90012877
Argentina,2014,2.943442122
Argentina,2015,3.002771694
Argentina,2016,3.089584595
Argentina,2017,2.984128275
Argentina,2018,2.998262426
Argentina,2019,2.980772777
Chile,2008,0.911243226
Chile,2009,0.747929686
Chile,2010,0.762909152
Chile,2011,0.811849715
Chile,2012,0.891448766
Chile,2013,0.756829158
Chile,2014,0.959768239
Chile,2015,1.018377023
Chile,2016,1.107274569
Chile,2017,1.099448362
Chile,2018,1.168550545
Chile,2019,1.128654992
China,2008,2.107379175
China,2009,1.519637865
China,2010,1.591013468
China,2011,1.72986246
China,2012,1.841237181
China,2013,1.944980669
China,2014,1.996464001
China,2015,2.121367531
China,2016,2.219392485
China,2017,2.288309185
China,2018,2.462469716
Estonia,2008,6.409471649
Estonia,2009,7.324278438
Estonia,2010,7.156398104
Estonia,2011,7.841126369
Estonia,2012,7.720303286
Estonia,2013,7.342552483
Estonia,2014,7.089522873
Estonia,2015,6.721785198
Estonia,2016,6.944133184
Estonia,2017,7.286048324
Estonia,2018,7.64865281
Estonia,2019,7.721307206
Romania,2008,2.072201155
Romania,2009,2.137156875
Romania,2010,2.267035719
Romania,2011,1.886728251
Romania,2012,2.083906863
Romania,2013,2.167713025
Romania,2014,2.097259861
Romania,2015,2.047808391
Romania,2016,2.140789599
Romania,2017,2.029613495
Romania,2018,1.99252211
Romania,2019,2.005896295
Russian Federation,2008,6.354844162
Russian Federation,2009,6.371747587
Russian Federation,2010,6.321260045
Russian Federation,2011,6.316651848
Russian Federation,2012,6.195667063
Russian Federation,2013,6.171380146
Russian Federation,2014,6.218496205
Russian Federation,2015,6.210663127
Russian Federation,2016,5.924384954
Russian Federation,2017,5.678093368
Russian Federation,2018,5.594385926
Russian Federation,2019,5.569947034
Singapore,2008,9.429548842
Singapore,2009,10.20960201
Singapore,2010,10.3120094
Singapore,2011,10.44260492
Singapore,2012,10.16559447
Singapore,2013,10.30729864
Singapore,2014,10.11266867
Singapore,2015,10.71662929
Singapore,2016,10.67421252
Singapore,2017,10.60068676
Singapore,2018,10.57755195
Singapore,2019,11.22652274
Slovenia,2008,7.028485757
Slovenia,2009,7.566304237
Slovenia,2010,7.99564044
Slovenia,2011,9.263091216
Slovenia,2012,9.468187147
Slovenia,2013,9.385577234
Slovenia,2014,9.202533004
Slovenia,2015,8.369530671
Slovenia,2016,8.44673325
Slovenia,2017,9.398746968
Slovenia,2018,9.858024087
Slovenia,2019,10.04087773
South Africa,2008,1.32907197
South Africa,2009,1.394484228
South Africa,2010,1.357672061
South Africa,2011,1.429636696
South Africa,2012,1.482326809
South Africa,2013,1.570469157
South Africa,2014,1.556280708
South Africa,2015,1.661863922
South Africa,2016,1.7526109
South Africa,2017,1.825420249
South Africa,2018,1.775700256
South Africa,2019,1.734450765
TWN,2008,10.57996495
TWN,2009,11.60808572
TWN,2010,12.2114945
TWN,2011,12.55982551
TWN,2012,12.86955325
TWN,2013,12.83679406
TWN,2014,12.85840878
TWN,2015,12.93413869
TWN,2016,13.05945952
TWN,2017,13.20349114
TWN,2018,13.46846154
TWN,2019,13.84002213
OECD,2008,7.363304322
OECD,2009,7.700418479
OECD,2010,7.727351951
OECD,2011,7.888346158
OECD,2012,7.996885248
OECD,2013,8.190394656
OECD,2014,8.335404866
OECD,2015,8.418614493
OECD,2016,8.415705862
OECD,2017,8.648561318
OECD,2018,8.978396175
OECD,2019,9.156942435
CHE,2008,5.652026375
CHE,2012,7.655891581
CHE,2015,8.935902368
CHE,2017,8.839719217
CHE,2019,9.368051317
Latvia,2008,4.141913128
Latvia,2009,4.006772009
Latvia,2010,4.618822651
Latvia,2011,4.609775012
Latvia,2012,4.494418241
Latvia,2013,4.079326872
Latvia,2014,4.275454238
Latvia,2015,4.064116985
Latvia,2016,3.556365918
Latvia,2017,3.930084674
Latvia,2018,3.839031711
Latvia,2019,4.038203822
Lithuania,2008,5.913330061
Lithuania,2009,6.448917585
Lithuania,2010,6.889120333
Lithuania,2011,6.684726317
Lithuania,2012,6.273850485
Lithuania,2013,6.601095425
Lithuania,2014,6.860447536
Lithuania,2015,6.088869008
Lithuania,2016,6.21446275
Lithuania,2017,6.418312651
Lithuania,2018,6.473779516
Lithuania,2019,6.935362252
EU27_2020,2008,6.310097693
EU27_2020,2009,6.564262805
EU27_2020,2010,6.865533075
EU27_2020,2011,7.019331117
EU27_2020,2012,7.32333144
EU27_2020,2013,7.576160795
EU27_2020,2014,7.650634383
EU27_2020,2015,7.90362694
EU27_2020,2016,8.043765093
EU27_2020,2017,8.373352904
EU27_2020,2018,8.626131391
EU27_2020,2019,8.854984304